image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
- Contrast-enhanced abdominal CT scan in the axial plane demonstrating air-filled duodenal diverticulum with local mild duodenal wall thickening (red arrows) and fluid collections (blue arrows)
- CT head sagittal view plain revealed multiple white matter hypodensities concerning septic emboli (Red arrows).
- Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
- In the lower lobe of the right lung, scattered patchy air-filled air sacs (red arrows) are seen in the cecum (white arrow).","1. Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
2. Contrast-enhanced abdominal CT scan in the axial plane demonstrating air-filled duodenal diverticulum with local mild duodenal wall thickening (red arrows) and fluid collections (blue arrows)
3. CT head sagittal view plain revealed multiple white matter hypodensities concerning septic emboli (Red arrows).
4. Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
5. In the lower lobe of the right lung, scattered patchy and cordlike shadows with increased density were observed, and some edges were blurred in CT. The interlobular septum of the lung was thickened in a grid shape, which was consistent with interstitial manifestations",0.0602,0.0213,0.0070,0.0040,0.2054,0.3196
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Second clinical case: CT image in transversal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
- Sagittal CT reconstruction; 28 y/o female; congenital block vertebra C3/4 with degenerative changes in segments C4/5 and C5/6 representing a combination of ASDI and natural degenerative changes.
-  Computed tomography of the head showing large intraparenchymal hemorrhage of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.
- CT angiography of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.","1. Second clinical case: CT image in transversal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
2. Sagittal CT reconstruction; 28 y/o female; congenital block vertebra C3/4 with degenerative changes in segments C4/5 and C5/6 representing a combination of ASDI and natural degenerative changes.
3.  Computed tomography of the head showing large intraparenchymal hemorrhage of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.
4. CT angiogram of the chest. The red arrow indicates an area of airspace consolidation on the lower lobe of the left lung
5. Visualization of a left atrial CM in a computed tomography scan with contrast medium.",0.0569,0.0216,0.0073,0.0042,0.2980,0.2904
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
- Vascular angiography shows steal syndrome.
- Preoperative angiography showing the pseudo-aneurysm of the right SMA.","1. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
2. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
3. Vascular angiography shows steal syndrome.
4. Preoperative angiography showing the pseudo-aneurysm of the right SFA, originating from a small collateral branch of SFA at the distal third of the thigh.
5. Coronary angiography of the right coronary artery shows the typical location of a branch to the atrioventricular node taking off from the right posterolateral (RPL) branch in the right-dominant coronary circulation. There is some atherosclerotic narrowing in the proximal part of the artery before the take-off of a large acute marginal branch and the right posterior descending branch (RPD). (A higher resolution / colour version of this figure is available in the electronic copy of the article).",0.0849,0.0493,0.0133,0.0069,0.1866,0.4634
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
- Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
- Preoperative angiography showing the pseudo-aneurysm of the right SFA, originating from a small collateral branch of SFA at the distal third of the thigh.
- Coronary angiography showing the pseudo-aneurysm of the right SFA, originating from a small collateral branch of SFA at the distal third of the thigh.","1. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
2. Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
3. Preoperative angiography showing the pseudo-aneurysm of the right SFA, originating from a small collateral branch of SFA at the distal third of the thigh.
4. Coronary angiography of the right coronary artery shows the typical location of a branch to the atrioventricular node taking off from the right posterolateral (RPL) branch in the right-dominant coronary circulation. There is some atherosclerotic narrowing in the proximal part of the artery before the take-off of a large acute marginal branch and the right posterior descending branch (RPD). (A higher resolution / colour version of this figure is available in the electronic copy of the article).
5. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.",0.1200,0.0622,0.0147,0.0071,0.1977,0.4003
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Contrast remained at the positions of dissections (arrows).
- Thrombi in the left ventricular apex with high embolic potential.
- Longitudinal scan with presence of massive pleural effusion above the diaphragmatic line in pleural cavity, with atelectasis of adjacent lung parenchyma.
- After consultation between the multidisciplinary team, the patient was cannulated for veno-venous extracorporeal membrane oxygenation. VV-ECMO (indicated by the red arrows).
- Fetus with tetrasomy 9p.
Describe the current image in clinical terms:","1. Contrast remained at the positions of dissections (arrows).
2. Thrombi in the left ventricular apex with high embolic potential.
3. Longitudinal scan with presence of massive pleural effusion above the diaphragmatic line in pleural cavity, with atelectasis of adjacent lung parenchyma.
4. After consultation between the multidisciplinary team, the patient was cannulated for veno-venous extracorporeal membrane oxygenation. VV-ECMO (indicated by the red arrows).
5. Fetus with tetrasomy 9p.",0.0204,0.0046,0.0028,0.0022,0.0588,0.1291
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- CT scan revealed the persistence of the air bubble.
- CT chest on hospital day 25 showing bilateral diffuse opacities
- CT chest axial view showing a huge ascending aortic aneurysm (*).
- Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
- Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
Describe the current image in clinical terms:","1. CT scan revealed the persistence of the air bubble.
2. CT chest on hospital day 25 showing bilateral diffuse opacities
3. CT chest axial view showing a huge ascending aortic aneurysm (*).
4. Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
5. Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).",0.1000,0.0318,0.0101,0.0057,0.1760,0.3647
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- CT chest on hospital day 25 showing bilateral diffuse opacities
- CT chest axial view showing a huge ascending aortic aneurysm (*).
- CT scan revealed the persistence of the air bubble.
- Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
- Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
Describe the current image in clinical terms:","1. CT chest on hospital day 25 showing bilateral diffuse opacities
2. CT chest axial view showing a huge ascending aortic aneurysm (*).
3. CT scan revealed the persistence of the air bubble.
4. Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
5. Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).",0.1000,0.0636,0.0345,0.0144,0.3395,0.3823
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- Thrombi in the left ventricular apex with high embolic potential.
- Longitudinal scan with presence of massive pleural effusion above the diaphragmatic line in pleural cavity, with atelectasis of adjacent lung parenchyma.
- Fetus with tetrasomy 9p.
- Scapulo-thoracic angle measurment.
- A 39-year-old patient. Coronal T2-weighted HASTE sequence showing retroplacental areas of low-intensity signal halo loss (arrows), together with myometrial thinning.
Describe the current image in clinical terms:","1. Thrombi in the left ventricular apex with high embolic potential.
2. Longitudinal scan with presence of massive pleural effusion above the diaphragmatic line in pleural cavity, with atelectasis of adjacent lung parenchyma.
3. Fetus with tetrasomy 9p.
4. Scapulo-thoracic angle measurment.
5. A 39-year-old patient. Coronal T2-weighted HASTE sequence showing retroplacental areas of low-intensity signal halo loss (arrows), together with myometrial thinning.",0.0222,0.0050,0.0031,0.0024,0.1235,0.2028
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Sagittal T1-weighted brain MRI scan showing marked cerebellar atrophy. There were no intrinsic cerebellar lesions, the brainstem was well preserved, and there was normal preservation of both cerebral hemispheres.
- Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.
- Sagittal MRI images at age of 9 months showing displayed diffusely and symmetrically abnormal signal in the white matter in bilateral cerebral hemispheres, cerebellar.
- Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T1-weighted brain MRI showing marked cerebellar atrophy. There were no intrinsic cerebellar lesions, the brainstem was well preserved, and there was normal preservation of both cerebral hemispheres.","1. Sagittal T1-weighted brain MRI scan showing marked cerebellar atrophy. There were no intrinsic cerebellar lesions, the brainstem was well preserved, and there was normal preservation of both cerebral hemispheres.
2. Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.
3. Sagittal MRI images at age of 9 months showing displayed diffusely and symmetrically abnormal signal in the white matter in bilateral cerebral hemispheres, cerebellar.
4. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
5. Sagittal FLAIR post-contrast MRI.The image is showing lack of enhancement at the level of scalp lesion (blue arrow), indicating a fibrous rather than venous substance, contrasting with sinus pericranii. Beaked tentorium is also shown again (yellow arrow).FLAIR: fluid-attenuated inversion recovery",0.0208,0.0038,0.0022,0.0016,0.0794,0.3682
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- T2-weighted MRI shows no abnormal findings in the left testicle after treatment.
- Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae.","1. T2-weighted MRI shows no abnormal findings in the left testicle after treatment.
2. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
3. MRI of thoracic spine shows abnormal T2 signaling at the level of T3.
4. Fetal MRI showing the dilated fetal airway (blue arrow), everted diaphragm (yellow arrow) and ascites (white arrow) typical of fetal CHAOS.
5. MRI BrainArrows show lesions of the right basal ganglia and right thalamus which could represent subacute lacunar infarcts. MRI (Magnetic resonance imaging)",0.0339,0.0170,0.0063,0.0038,0.1227,0.3855
