image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- CT scan showing a 4.2-cm right breast mass (axial view)
- Finding of followed computed tomography 5 days after surgery.
- Axial section of brain.Figure 1 was found to have a focal irregular area of nodular non-enhancing soft tissue thickening in relation to the retina just adjacent to the optic nerve insertion, which appears hyperdense in the unenhanced study. This is suggestive of a retinal lesion (inflammatory, non-benign or haemorrhage) or artefactual. No calcifications are present. Intraocular and extracoronal spaces are intact bilaterally.Computed tomography (CT) scan showing a 4.2-cm right breast mass (axial view)","1. CT scan showing a 4.2-cm right breast mass (axial view)
2. Finding of followed computed tomography 5 days after surgery.
3. Axial section of brain.Figure 1 was found to have a focal irregular area of nodular non-enhancing soft tissue thickening in relation to the retina just adjacent to the optic nerve insertion, which appears hyperdense in the unenhanced study. This is suggestive of a retinal lesion (inflammatory, non-benign or haemorrhage) or artefactual. No calcifications are present. Intraocular and extracoronal spaces are intact bilaterally.Computed tomography (CT) image of patient’s brain.
4. CT of the thorax showing co-existing emphysematous hyperinflation
5. Computed tomography, sagittal view, showing decreased mural enhancement with mural thickening and luminal narrowing of the descending colon (yellow arrows).",0.0678,0.0340,0.0100,0.0054,0.2821,0.3480
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Abdominal and pelvic CT with intravenous contrast. Coronal image illustrating dilated fluid-filled loops of the small intestine consistent with high-grade mechanical obstruction.
- Second clinical case: CT image in transversal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
- Imaging of Case 2: temporal bone CT (left)Affected side.CT, computed tomography.
- 18F-fluorodeoxyglucose positron emission tomography/computed tomography axial view of Patient 1 demonstrating increased activity in right ventricular outflow tract (RVOT).","1. Abdominal and pelvic CT with intravenous contrast. Coronal image illustrating dilated fluid-filled loops of the small intestine consistent with high-grade mechanical obstruction.
2. Second clinical case: CT image in transversal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
3. Imaging of Case 2: temporal bone CT (left)Affected side.CT, computed tomography.
4. 18F-fluorodeoxyglucose positron emission tomography/computed tomography axial view of Patient 1 demonstrating increased activity in right ventricular outflow tract below the bioprosthetic pulmonary valve replacement.
5. Sagittal CT reconstruction; 28 y/o female; congenital block vertebra C3/4 with degenerative changes in segments C4/5 and C5/6 representing a combination of ASDI and natural degenerative changes.",0.0680,0.0258,0.0087,0.0051,0.1659,0.3124
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow). SMA, superior mesenteric artery.","1. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
2. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
3. Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a small anomalous LAD artery (blue arrows), a large ectatic RCA giving rise to the LCx (white arrows), multiple RCA lesions (green arrows) with an 80-90% mid to distal calcified eccentric lesion (green arrow with asterixis), a filling defect representing a thrombotic occlusion in the distal RCA (red arrow), and a 70% mid right posterior descending artery concentric lesion (yellow arrow).
4. Blush from short gastric arteries on angiography.
5. Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.",0.0725,0.0398,0.0105,0.0054,0.3156,0.4912
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
- Blush from short gastric arteries on angiography.
- Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a small anomalous LAD artery (blue arrows), a large ectatic RCA giving rise to the LCx (white arrows), multiple RCA lesions (red arrows) and a small anomalous LAD artery (green arrows).","1. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
2. Blush from short gastric arteries on angiography.
3. Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a small anomalous LAD artery (blue arrows), a large ectatic RCA giving rise to the LCx (white arrows), multiple RCA lesions (green arrows) with an 80-90% mid to distal calcified eccentric lesion (green arrow with asterixis), a filling defect representing a thrombotic occlusion in the distal RCA (red arrow), and a 70% mid right posterior descending artery concentric lesion (yellow arrow).
4. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
5. The guidewire (arrow) could not be guided into the right ventricle although it seemed to take the brachiocephalic superior vena cava route. Selective persistent left superior vena cava vein angiography revealed a tortuous route, and persistent left superior vena cava (arrowhead with dotted line) drained into both the right and left atria.",0.1000,0.0394,0.0107,0.0056,0.2320,0.3873
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Barium meal. Giant ulcer with a clover-leaf deformity in the median third of the stomach, a pseudoneoplastic benign giant ulcer.
- Echocardiography apical four-chamber view showing left atrial myxoma
- Large left-side cavity with a thick wall filled with thick fluid, with a clear fluid, with a clear fluid level occupying more than 80% of the left-sided lung. The arrows are pointing to the boundaries of the fluid level with mild compression of the mediastinum to the other side and secondary hyperinflation of the right lung.
- A 6-year-old boy with systemic Epstein-Barr virus-associated lymphoproliferative disorder","1. Barium meal. Giant ulcer with a clover-leaf deformity in the median third of the stomach, a pseudoneoplastic benign giant ulcer.
2. Echocardiography apical four-chamber view showing left atrial myxoma
3. Large left-side cavity with a thick wall filled with thick fluid, with a clear fluid, with a clear fluid level occupying more than 80% of the left-sided lung. The arrows are pointing to the boundaries of the fluid level with mild compression of the mediastinum to the other side and secondary hyperinflation of the right lung.
4. A 6-year-old boy with systemic Epstein-Barr virus-positive T-cell lymphoma of childhood.Longitudinal ultrasonography of the spleen shows a heterogeneously hypoechoic mass (arrow) with splenomegaly (11.5 cm).
5. (A) Image showing placental calcification and lobulation (grade 3 placenta) in a case of 26-year-old primigravida at a gestational age of 33 weeks and 6 days. Red arrows show the placental calcification and blue arrows show lobulations. (B) Image showing grade 3 placental calcification in a 31-year-old primigravida at a gestational age of 35 weeks and 1 day. Red arrows show the placental calcification.",0.0263,0.0048,0.0027,0.0021,0.0806,0.1480
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
- Computed tomography, coronal view, revealing an irregular mass at the mid to distal ascending colon with signs of obstruction.
- Computed tomography of the chest showing the large bilateral pleural based nodularities
- Computed tomography imaging. Chest computed tomography revealed an isolated anterior mediastinal mass with a maximum diameter measuring 22 mm without invasion to the surrounding tissues
- A 71‐year‐old woman with esophageal carcinoma. Axial multiple detector spiral computed tomography (MDCT) arterial phase shows pancreatic tissue (arrow) at the level of the mediastinum","1. CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
2. Computed tomography, coronal view, revealing an irregular mass at the mid to distal ascending colon with signs of obstruction.
3. Computed tomography of the chest showing the large bilateral pleural based nodularities
4. Computed tomography imaging. Chest computed tomography revealed an isolated anterior mediastinal mass with a maximum diameter measuring 22 mm without invasion to the surrounding tissues
5. A 71‐year‐old woman with esophageal carcinoma. Axial multiple detector spiral computed tomography (MDCT) arterial phase shows pancreatic tissue (arrow) extending in a posterolateral direction towards the duodenum (curved arrow)",0.0917,0.0393,0.0109,0.0058,0.2096,0.3174
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- computed tomography, axial view of the tumour
- CT scan axial cut bone window showing the nasal tooth.
- Abdominal CT showing a cystic lesion with some calcification in the right iliac fossa (arrow).
- Computed tomography, sagittal view, showing decreased mural enhancement with mural thickening and luminal narrowing of the descending colon (yellow arrows).
- Initial computed tomography of the chest shows a bilateral pleural effusion.
Describe the current image in clinical terms:","1. computed tomography, axial view of the tumour
2. CT scan axial cut bone window showing the nasal tooth.
3. Abdominal CT showing a cystic lesion with some calcification in the right iliac fossa (arrow).
4. Computed tomography, sagittal view, showing decreased mural enhancement with mural thickening and luminal narrowing of the descending colon (yellow arrows).
5. Initial computed tomography of the chest shows a bilateral pleural effusion.",0.0937,0.0702,0.0472,0.0183,0.2292,0.3938
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- CECT scan in the coronal view showing diffusely enlarged lacrimal glands with homogenous enhancement
- Thrombi in the left ventricular apex with high embolic potential.
- Echocardiogram shows a 0.9×0.6-cm-sized vegetation on the atrial side of the anterior leaflet of the tricuspid valve. Informed consent for publication of the clinical images was obtained from the patient.
- The axial section of CBCTIt revealed a single radiopaque cystic lesion seen on the left side with buccal expansion and not crossing the midline around a horizontally impacted 23. Loculation is shown on the right side of the lesion","1. CECT scan in the coronal view showing diffusely enlarged lacrimal glands with homogenous enhancement
2. Thrombi in the left ventricular apex with high embolic potential.
3. Echocardiogram shows a 0.9×0.6-cm-sized vegetation on the atrial side of the anterior leaflet of the tricuspid valve. Informed consent for publication of the clinical images was obtained from the patient.
4. The axial section of CBCTIt revealed a single radiopaque cystic lesion seen on the left side with buccal expansion and not crossing the midline around a horizontally impacted 23. Loculation is seen on the buccal periphery with a buccal cortical breach seen on the posterior side of the lesion.
5. Barium meal. Giant ulcer with a clover-leaf deformity in the median third of the stomach, a pseudoneoplastic benign giant ulcer.",0.0275,0.0050,0.0029,0.0022,0.0829,0.1559
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Pelvic MRI; left supralevator abscess (green arrow).
- Cranial magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the parietal branches (arrowheads) of the superficial temporal arteries as a sign of active giant cell arteritis.
- Absence of the septum pellucidum (white arrow) and pointing of frontal horns (yellow arrow) seen on MRI of the brain.
-  Axial fat-suppressed proton density-weighted magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the parietal branches (arrow","1. Pelvic MRI; left supralevator abscess (green arrow).
2. Cranial magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the parietal branches (arrowheads) of the superficial temporal arteries as a sign of active giant cell arteritis.
3. Absence of the septum pellucidum (white arrow) and pointing of frontal horns (yellow arrow) seen on MRI of the brain.
4.  Axial fat-suppressed proton density-weighted magnetic resonance imaging (MRI) shows trochlear dysplasia and the measurements taken for determining the trochlear depth ([59 + 58.1] ÷ 2) – 56.5 = 2.05 mm. An axial MRI 3 cm above the joint line is needed to calculate the trochlear depth. The average distance of the medial and lateral facets from a line tangential to the femoral condyles is subtracted from the distance of the trochlear groove to that same tangential line. A value <3 mm is considered shallow and consistent with trochlear dysplasia.
5. MRI of the brain showing right-sided cerebellar infarct.",0.0148,0.0033,0.0020,0.0016,0.0556,0.2238
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- Postcontrast T1 magnetic resonance imaging of the neck shows an avidly enhancing well-circumscribed nodule (arrow) overlying the left sternocleidomastoid muscle, deep to the platysma.
- Imaging of Case 1: temporal MRI (T2-weighted image)MRI, magnetic resonance imaging.
- Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted axial images. a)Multifidus, b)semifidus, c)multifidus.","1. Postcontrast T1 magnetic resonance imaging of the neck shows an avidly enhancing well-circumscribed nodule (arrow) overlying the left sternocleidomastoid muscle, deep to the platysma.
2. Imaging of Case 1: temporal MRI (T2-weighted image)MRI, magnetic resonance imaging.
3. Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted axial images. a)Multifidus, b)semispinalis cervicis, c)semispinalis capitis, d)splenius capitis, and e)trapezius.
4. Pre-treatment T1 fat-suppressed post-gadolinium MRI sagittal view showing signal enhancement of the L3/L4 vertebral bodies (red arrowheads).MRI: magnetic resonance imaging
5. Axial section of brain MRI showing leptomeningeal enhancement",0.0396,0.0063,0.0034,0.0025,0.1712,0.3499
