image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- Left external iliac lymph node involvement as a new lesion. After two courses with chemotherapy, computed tomography revealed left external iliac lymph node involvement as a new lesion, although the bladder cancer and right external iliac lymph node decreased in size.
- CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
- Open globe injury in a 53-year-old woman. Axial unenhanced CT image showing hemorrhage in posterior chamber of the right eye.
- Chest CT showing an inhomogeneous alteration of the left thyroid lobe, corresponding to the metastatic thyroid involvement from the ACC.
- Enhanced CT with contrast axial view of the left thyroid lobe showing the metastatic thyroid involvement from the ACC.","1. Left external iliac lymph node involvement as a new lesion. After two courses with chemotherapy, computed tomography revealed left external iliac lymph node involvement as a new lesion, although the bladder cancer and right external iliac lymph node decreased in size.
2. CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
3. Open globe injury in a 53-year-old woman. Axial unenhanced CT image showing hemorrhage in posterior chamber of the right eye.
4. Chest CT showing an inhomogeneous alteration of the left thyroid lobe, corresponding to the metastatic thyroid involvement from the ACC.
5. Enhanced CT with oral contrast, axial view showing the appendix (white arrow) and the cecum",0.0647,0.0433,0.0239,0.0100,0.2204,0.3075
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
- Enhanced CT with oral contrast, axial view showing the appendix (white arrow) and the cecum
- Cone-beam computed tomography scan showing radiopaque nonhomogeneous mass with calcification flecks on the lingual aspect of the right bicuspid region (arrow).
- CT chest showed well-demarcated area of consolidation in the peripheral right upper lobe which could represent an area of infarction
- Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
Describe the diagnosis and treatment of mesenteric adenitis","1. Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
2. Enhanced CT with oral contrast, axial view showing the appendix (white arrow) and the cecum
3. Cone-beam computed tomography scan showing radiopaque nonhomogeneous mass with calcification flecks on the lingual aspect of the right bicuspid region (arrow).
4. CT chest showed well-demarcated area of consolidation in the peripheral right upper lobe which could represent an area of infarction
5. Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).",0.0789,0.0529,0.0368,0.0259,0.3351,0.4567
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
- Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
- Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no evidence of aneurysm","1. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
2. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
3. Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
4. Blush from short gastric arteries on angiography.
5. Coronary angiography in the Left anterior oblique (LAO) caudal view demonstrated double right coronary artery: main RCA (M.RCA), double RCA (D.RCA) and the dissection in the proximal portion of the main RCA.",0.0762,0.0469,0.0129,0.0068,0.2787,0.4901
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
- Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
- Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow)
- Preoperative computed tomographic angiogram of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis","1. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
2. Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
3. Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow)
4. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
5. Coronary angiography in the Left anterior oblique (LAO) caudal view demonstrated double right coronary artery: main RCA (M.RCA), double RCA (D.RCA) and the dissection in the proximal portion of the main RCA.",0.1705,0.1095,0.0657,0.0218,0.3216,0.4296
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Vanishing of the left femoral head due to osteonecrosis caused by the infection.The yellow arrow shows that the epiphysis of the femoral head had vanished due to the ongoing osteonecrosis.
- Postoperative CXR revealing complete lung expansion, no associated pneumothorax, no effusion.
- Post‐removal panoramic image of the odontoma with the subsequent alignment of the impacted teeth
- Abdominopelvic scan showing a pelvic-abdominal injury, tissue necrosis in places, slightly hand colored by the injection of contrast.
- Initial CXR with compressed right lung, possible mass lesion, no pneumothorax","1. Vanishing of the left femoral head due to osteonecrosis caused by the infection.The yellow arrow shows that the epiphysis of the femoral head had vanished due to the ongoing osteonecrosis.
2. Postoperative CXR revealing complete lung expansion, no associated pneumothorax, no effusion.
3. Post‐removal panoramic image of the odontoma with the subsequent alignment of the impacted teeth
4. Abdominopelvic scan showing a pelvic-abdominal injury, tissue necrosis in places, slightly hand colored by the injection of contrast.
5. Initial CXR with compressed right lung, possible mass lesion and pleural effusion.",0.0280,0.0051,0.0029,0.0022,0.0838,0.1528
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- CT chest showed well-demarcated area of consolidation in the peripheral right upper lobe which could represent an area of infarction
- A 46-year-old man with high-grade fever and chills. The axial contrast-enhanced CT shows significant right-sided pleural effusion with the near complete collapse of the right lung resulting in a shift of the heart and mediastinum to the left side. There is pleural thickening and enhancement. There is an extrapleural component within the adjacent chest wall with rim enhancement (arrow). Aspiration was performed under the guidance of ultrasonography, and diagnosis of empyema necessitans was made as a result","1. CT chest showed well-demarcated area of consolidation in the peripheral right upper lobe which could represent an area of infarction
2. A 46-year-old man with high-grade fever and chills. The axial contrast-enhanced CT shows significant right-sided pleural effusion with the near complete collapse of the right lung resulting in a shift of the heart and mediastinum to the left side. There is pleural thickening and enhancement. There is an extrapleural component within the adjacent chest wall with rim enhancement (arrow). Aspiration was performed under the guidance of ultrasonography, and diagnosis of empyema necessitans was made as a complication of Actinomyces Israelii.
3. Abdominal CT.Red arrow pointing at the 9-cm retroperitoneal mass. Blue arrow pointing to the liver on the left side of the abdomen consistent with the patient's abdominal heterotaxy
4. Enhanced CT with oral contrast, axial view showing the appendix (white arrow) and the cecum
5. Control CT scan 1 month later revealed the regression of the bubble air.",0.0696,0.0247,0.0081,0.0047,0.1553,0.2705
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- Patient no 4. CT image—Massive right iliopsoas muscle hematoma.
- Computed tomography (CT) of abdomen and pelvis showing a large filling defect within the urinary bladder suspicious for a blood clot (blue arrow)
- Micro-CT slice through a pheasant carcass.This shows a whole shotgun pellet, a small metal fragment and a probable bone fragment. Note the obvious blooming artefact effect around the shotgun pellet.
- Abdominopelvic computed tomography scan displaying an anterior abscess (red arrow) at the site of a previous hernia repair with synthetic mesh.
- Enhanced CT with oral contrast of the right iliopsoas muscle hematoma.","1. Patient no 4. CT image—Massive right iliopsoas muscle hematoma.
2. Computed tomography (CT) of abdomen and pelvis showing a large filling defect within the urinary bladder suspicious for a blood clot (blue arrow)
3. Micro-CT slice through a pheasant carcass.This shows a whole shotgun pellet, a small metal fragment and a probable bone fragment. Note the obvious blooming artefact effect around the shotgun pellet.
4. Abdominopelvic computed tomography scan displaying an anterior abscess (red arrow) at the site of a previous hernia repair with synthetic mesh.
5. Enhanced CT with oral contrast, coronary view showing a tubular formation located beneath the liver, enhancing through the arterial phase, suggesting an inflamed Meckel’s diverticulum",0.0917,0.0555,0.0138,0.0069,0.3630,0.3164
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- Vanishing of the left femoral head due to osteonecrosis caused by the infection.The yellow arrow shows that the epiphysis of the femoral head had vanished due to the ongoing osteonecrosis.
- Postoperative CXR revealing complete lung expansion, no associated pneumothorax, no effusion.
- A 58-year-old man with left internal carotid artery occlusions, the compensation of collaterals from the right internal carotid artery, external carotid artery and the left vertebral artery to the left hemisphere is insufficient and slow. ASITN/SIR collateral flow grading system: 1.
- 30-year-old man with left internal carotid artery occlusions, the compensation of collaterals from the right internal carotid artery, external carotid artery and the left vertebral artery to the left hemisphere is insufficient and slow","1. Vanishing of the left femoral head due to osteonecrosis caused by the infection.The yellow arrow shows that the epiphysis of the femoral head had vanished due to the ongoing osteonecrosis.
2. Postoperative CXR revealing complete lung expansion, no associated pneumothorax, no effusion.
3. A 58-year-old man with left internal carotid artery occlusions, the compensation of collaterals from the right internal carotid artery, external carotid artery and the left vertebral artery to the left hemisphere is insufficient and slow. ASITN/SIR collateral flow grading system: 1.
4. 30º anterior-posterior view of the left anterior descending artery and its diagonal branch.
5. Normal aortography",0.0286,0.0143,0.0053,0.0032,0.1489,0.1979
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- MRI showing resolution of the effusion.
- Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be diagnosed with ANE.","1. MRI showing resolution of the effusion.
2. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
3. T2-weighted MRI (T2WI).Image showing a well-defined lesion in the right parotid gland with a central homogeneous hyperintense component (*) suggestive of a cyst. Note the heterogeneous peripheral solid component with a few smaller microcysts within.
4. MRI shows the communication between the prostatic urethra and the cystic mass
5. MRI scan confirming multiple compression fractures of thoracic vertebrae",0.0240,0.0044,0.0025,0.0019,0.0882,0.2356
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- T1-weighed MRI at three and a half years of follow-up demonstrates the absence of edema and no evidence of tumor recurrence. MRI, magnetic resonance imaging.
- Magnetic resonance imaging: T1 coronal slice showing a well-circumscribed mass, both solid and cystic components of the lesion in the subcutaneous plane of the medial popliteal fossa can be seen. No invasion of soft tissue, joint space, or bone.
- MRI showing resolution of the effusion.
- MRI with contrast (no significant findings)
- T2-weighted MRI (T2WI).Image showing a well-defined lesion in the subcutaneous plane, both solid and cystic components of the lesion can be seen. No invasion of soft tissue, joint space, or bone.","1. T1-weighed MRI at three and a half years of follow-up demonstrates the absence of edema and no evidence of tumor recurrence. MRI, magnetic resonance imaging.
2. Magnetic resonance imaging: T1 coronal slice showing a well-circumscribed mass, both solid and cystic components of the lesion in the subcutaneous plane of the medial popliteal fossa can be seen. No invasion of soft tissue, joint space, or bone.
3. MRI showing resolution of the effusion.
4. MRI with contrast (no significant findings)
5. T2-weighted MRI (T2WI).Image showing a well-defined lesion in the right parotid gland with a central homogeneous hyperintense component (*) suggestive of a cyst. Note the heterogeneous peripheral solid component with a few smaller microcysts within.",0.0213,0.0123,0.0048,0.0030,0.1374,0.2900
