image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- Computed tomography of abdomen showing large multiloculated liver abscess
- Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
- Abdominal contrast-enhanced computed tomography on postoperative day 7. Sagittal image demonstrating improved celiac artery patency
- CT abdomen axial view revealing a large portocaval lymph node (arrows) and low attenuation suggesting a large necrotic node with splenic lesion
- Computed tomography image of the abdomen showing adrenal mass on axial plane. Image showing heterogenous 7.7 cm adrenal mass on axial plane","1. Computed tomography of abdomen showing large multiloculated liver abscess
2. Coronal computed tomography image demonstrating a homogenous mass (arrow) in the left lung apex with erosion of the underlying vertebra (short arrow).
3. Abdominal contrast-enhanced computed tomography on postoperative day 7. Sagittal image demonstrating improved celiac artery patency
4. CT abdomen axial view revealing a large portocaval lymph node (arrows) and low attenuation suggesting a large necrotic node with splenic lesion
5. Computed tomography image of the abdomen showing adrenal mass on axial plane. Image showing heterogenous 7.7 cm lesion (white line measure) appearing to be arising from left adrenal glands in contact with the upper pole of left kidney with areas of hypodensity suggesting necrosis. ",0.0714,0.0359,0.0105,0.0057,0.1681,0.3552
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
- Preoperative coronal computed tomography imaging of the paranasal sinuses showing an intranasal tooth (white arrow) with a focal central radiolucency (resembling dental pulp) arising into the right nasal cavity.
- Abdominal CT 5 years prior to admission showing a cyst in the right hepatic lobe.
- Abdominal CT scan The scan shows a small septated cystic lesion in segment 8/1 of the liver (white arrow).
-  Computed tomography scanning results (intracranasal tooth in the right nasal cavity)","1. Postoperative abdominal CT scan showing migration of the stercolith in the cecum (white arrow).
2. Preoperative coronal computed tomography imaging of the paranasal sinuses showing an intranasal tooth (white arrow) with a focal central radiolucency (resembling dental pulp) arising into the right nasal cavity.
3. Abdominal CT 5 years prior to admission showing a cyst in the right hepatic lobe.
4. Abdominal CT scan The scan shows a small septated cystic lesion in segment 8/1 of the liver (white arrow).
5.  Computed tomography scanning results (intracranial hemorrhage secondary to intracranial infection).",0.0862,0.0548,0.0375,0.0261,0.3321,0.4507
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
- Vascular angiography shows steal syndrome.
- Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest dimension of the arterial lumen, and length (line b) was measured as the shortest dimension of the arterial lumen.","1. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
2. Vascular angiography shows steal syndrome.
3. Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation
4. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
5. The guidewire (arrow) could not be guided into the right ventricle although it seemed to take the brachiocephalic superior vena cava route. Selective persistent left superior vena cava vein angiography revealed a tortuous route, and persistent left superior vena cava (arrowhead with dotted line) drained into both the right and left atria.",0.1000,0.0682,0.0417,0.0155,0.3921,0.4309
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a small anomalous LAD artery (blue arrows), a large ectatic RCA giving rise to the LCx (white arrows), multiple RCA lesions (green arrows) with an 80-90% mid to distal calcified eccentric lesion (green arrow with asterixis), a filling defect representing a thrombotic occlusion in the distal RCA (red arrow), and a 70% mid right posterior descending artery concentric lesion (yellow arrow).
- Vascular angiography shows steal syndrome.
- Completion angiography demonstrating patency of the distal RCA.","1. Right coronary angiogram (left anterior oblique 30°/cranial 30°) revealing a small anomalous LAD artery (blue arrows), a large ectatic RCA giving rise to the LCx (white arrows), multiple RCA lesions (green arrows) with an 80-90% mid to distal calcified eccentric lesion (green arrow with asterixis), a filling defect representing a thrombotic occlusion in the distal RCA (red arrow), and a 70% mid right posterior descending artery concentric lesion (yellow arrow).
2. Vascular angiography shows steal syndrome.
3. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
4. The guidewire (arrow) could not be guided into the right ventricle although it seemed to take the brachiocephalic superior vena cava route. Selective persistent left superior vena cava vein angiography revealed a tortuous route, and persistent left superior vena cava (arrowhead with dotted line) drained into both the right and left atria.
5. Right coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery.",0.1017,0.0417,0.0114,0.0060,0.1386,0.4002
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Brightness amplitude scan of right eye showing dome shaped elevation with a high reflective elevation at Inferotemporal quadrant suggestive of scolex.
- Axial T1 post-contrast of sinus pericranii.The image is showing dilated scalp vein that enhances with contrast (yellow arrow) in stark comparison to APCs. APCs do not enhance due to their fibrous nature.APC: atretic parietal encephaloceles
- Initial trans-esophageal echocardiogram (TEE) showing the biofilm extending along the right atrium and associated with a peduncle.RA, right atrium","1. Brightness amplitude scan of right eye showing dome shaped elevation with a high reflective elevation at Inferotemporal quadrant suggestive of scolex.
2. Axial T1 post-contrast of sinus pericranii.The image is showing dilated scalp vein that enhances with contrast (yellow arrow) in stark comparison to APCs. APCs do not enhance due to their fibrous nature.APC: atretic parietal encephaloceles
3. Initial trans-esophageal echocardiogram (TEE) showing the biofilm extending along the right atrium and associated with a peduncle.RA, right atrium; IVC, inferior vena cava; SVC, superior vena cava
4. Large, homogenous, rounded, density of 3 × 3 cm in the right upper zone with a large amount of air fluid and thick wall cavity. The white arrow shows the upper part of the fluid level.
5. Complete agenesis of the corpus callosum on sagittal T2 weighted 3D images.",0.0316,0.0058,0.0033,0.0025,0.0898,0.1953
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- Chronic or cluster 2 hypersensitivity pneumonitis.Typical CT findings of biopsy-proven chronic hypersensitivity pneumonitis in a bird breeder. High-resolution CT scans show mild reticulation with superimposed patchy ground-glass opacities and traction bronchiectasis and bronchiolectasis (white arrowheads). Lobular areas of decreased attenuation and vascularity (black arrows) are also present.
- CT scan of the abdomen with IV contrast after paracentesis. CT scan of the abdomen with IV contrast after abdominal paracentesis showing improved abdominal ascites (yellow arrow), and a new bowel loop inside the umbilical hernia (red arrow).","1. Chronic or cluster 2 hypersensitivity pneumonitis.Typical CT findings of biopsy-proven chronic hypersensitivity pneumonitis in a bird breeder. High-resolution CT scans show mild reticulation with superimposed patchy ground-glass opacities and traction bronchiectasis and bronchiolectasis (white arrowheads). Lobular areas of decreased attenuation and vascularity (black arrows) are also present.
2. CT scan of the abdomen with IV contrast after paracentesis. CT scan of the abdomen with IV contrast after abdominal paracentesis showing improved abdominal ascites (yellow arrow), and a new bowel loop inside the umbilical hernia (red arrow).
3. Low dose lung CT scan without contrast: multiple patches of ground-glass opacities and consolidations are noted diffusely in both lung parenchyma, which is predominantly distributed in peripheral regions with involvement of 70% of parenchyma.
4. CT pulmonary embolus (PE) with filling defect within the main pulmonary artery (arrow)CT: computed tomography
5. Contrasted abdominal CT showing diffuse omental thickening (indicated by arrow).",0.0636,0.0242,0.0081,0.0047,0.1293,0.2048
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- CT scan of the abdomen showing free fluid in the pelvis and upper abdomen.
- Computed tomography of the chest with contrast (sagittal view) showing fluid enhancing mass overlying the sternum with bony destruction of the sternum (blue arrow).
- Coronal CT abdomen with contrast showing subcapsular perisplenic hematoma (red arrow).
- Computed tomography of the pancreas. The tumor (yellow arrows) is located in the tail of the pancreas.
- CT pulmonary angiogram showing large pockets of gas within the right breast parenchyma (blue arrows) with edema of the overlying skin (red arrows).","1. CT scan of the abdomen showing free fluid in the pelvis and upper abdomen.
2. Computed tomography of the chest with contrast (sagittal view) showing fluid enhancing mass overlying the sternum with bony destruction of the sternum (blue arrow).
3. Coronal CT abdomen with contrast showing subcapsular perisplenic hematoma (red arrow).
4. Computed tomography of the pancreas. The tumor (yellow arrows) is located in the tail of the pancreas.
5. CT pulmonary angiogram showing large pockets of gas within the right breast parenchyma (blue arrows) with edema of the overlying skin. CT: computed tomography",0.0826,0.0694,0.0545,0.0342,0.3014,0.3523
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- Step 2—Manoeuvre: The snare-guide apparatus and the Impella RP are both manoeuvred across the tricuspid valve and are positioned in the proximal portion of the right ventricular outflow tract.
- Ground-glass nodules have become larger, and cystic air spaces have appeared in their centers.
- Fluoroscopic evaluation of venous anatomy pertinent to cardiac implantable electronic device implant. Venogram performed with a contrast injection via the left brachiocephalic vein. The locations of the left subclavian, axillary, and cephalic veins are labeled. The approximate location of the left axillary artery is marked on the venogram.","1. Step 2—Manoeuvre: The snare-guide apparatus and the Impella RP are both manoeuvred across the tricuspid valve and are positioned in the proximal portion of the right ventricular outflow tract.
2. Ground-glass nodules have become larger, and cystic air spaces have appeared in their centers.
3. Fluoroscopic evaluation of venous anatomy pertinent to cardiac implantable electronic device implant. Venogram performed with a contrast injection via the left brachiocephalic vein. The locations of the left subclavian, axillary, and cephalic veins are labeled. The approximate location of the left axillary artery is marked by a red dashed line.
4. Target and avoidance structures. Example axial slice representing the method used for contouring target and avoidance structures. Red: old GTV; inner magenta: CTV1; inner yellow: PTV1 (mod); outer magenta: CTV2; outer yellow: PTV2
5. Enlarged mediastinal lymph node, 16.7 mm.",0.0177,0.0040,0.0024,0.0019,0.0541,0.2093
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.
- Sagittal MRI showing periventricular enhancement with radiations (white arrows) perpendicular to the body of the lateral ventricle (Dawson’s fingers).MRI: magnetic resonance imaging
- Post-gadolinium axial magnetic resonance imaging of pelvis. The lesion in the right pelvic wall shows no marked enhancement by intravenous administration of gadolinium (yellow arrow)
- FLAIR MRI medial thalamic hyperintensities. FLAIR MRI of the brain shows vague bilateral hyperintensities in the medial thalamus (yellow arrow)","1. Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.
2. Sagittal MRI showing periventricular enhancement with radiations (white arrows) perpendicular to the body of the lateral ventricle (Dawson’s fingers).MRI: magnetic resonance imaging
3. Post-gadolinium axial magnetic resonance imaging of pelvis. The lesion in the right pelvic wall shows no marked enhancement by intravenous administration of gadolinium (yellow arrow)
4. FLAIR MRI medial thalamic hyperintensities. FLAIR MRI of the brain shows vague bilateral hyperintensities in both medial thalami (arrow).
5. Axial section of brain MRI showing leptomeningeal enhancement",0.0256,0.0047,0.0027,0.0020,0.0926,0.4563
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- MRI in T2 weighted sequence with unclear vascularised structure (arrow) at the hepatic hilus with signal change.
- AIDS-associated myelopathy. Axial T2-weighted MRI sequence showing a hyperintense signal in the posterolateral regions (arrows). There was also spinal atrophy (not shown).
- MRI of thoracic spine shows abnormal T2 signaling spanning from T2-T8, highly suspicious for an acute spinal cord infarction (focal cord swelling and ""pencil-like"" hyperintensities on T2-weighted images).
- T1-weighed MRI at three and a half years of age shows a hyperintense signal in the posterolateral regions (arrows). There was also spinal atrophy (not shown).","1. MRI in T2 weighted sequence with unclear vascularised structure (arrow) at the hepatic hilus with signal change.
2. AIDS-associated myelopathy. Axial T2-weighted MRI sequence showing a hyperintense signal in the posterolateral regions (arrows). There was also spinal atrophy (not shown).
3. MRI of thoracic spine shows abnormal T2 signaling spanning from T2-T8, highly suspicious for an acute spinal cord infarction (focal cord swelling and ""pencil-like"" hyperintensities on T2-weighted images).
4. T1-weighed MRI at three and a half years of follow-up demonstrates the absence of edema and no evidence of tumor recurrence. MRI, magnetic resonance imaging.
5. Repeat MRI T2_tse sagittal images, 1 month after starting IVIG and corticosteroid therapy",0.0312,0.0222,0.0157,0.0075,0.1156,0.4769
