image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
-  Computed tomography showing mural thickening at the hepatic flexure (blue arrow) and splenic flexure (yellow arrow).
- Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
- CT Thorax after completing 9 months of medical treatment and surgical debridement of pleural effusion","1.  Computed tomography showing mural thickening at the hepatic flexure (blue arrow) and splenic flexure (yellow arrow).
2. Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
3. CT Thorax after completing 9 months of medical treatment and surgical debridement of abscess. Shows complete resolution of chest wall mass and intact bony structure underneath.
4. Coronal CT image, the largest diameter of the caecum is 10 cm, intestinal pneumatosis is indicated by 1 arrow.
5. Coronal CT scan without IV contrast. Red arrow showing the large superficial femoral pseudoaneurysm. White arrow showing the large left inguinal hernia.",0.0522,0.0198,0.0067,0.0039,0.1346,0.2254
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
- Pre-cryotherapy chest computed tomography scan showing multiple endometrioses in the right and left upper lobes, December 2018.
- Subsequent computed tomography of the abdomen and pelvis showing the progression of splenic enhancement on day two.
- Visualization of a left atrial CM in a computed tomography scan with contrast medium.
- Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal chest wall.","1. Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
2. Pre-cryotherapy chest computed tomography scan showing multiple endometrioses in the right and left upper lobes, December 2018.
3. Subsequent computed tomography of the abdomen and pelvis showing the progression of splenic enhancement on day two.
4. Visualization of a left atrial CM in a computed tomography scan with contrast medium.
5. Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",0.0394,0.0354,0.0311,0.0264,0.2041,0.3318
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery, and internal carotid artery","1. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
2. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
3. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
4. Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
5. Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow)",0.0536,0.0220,0.0076,0.0045,0.2131,0.3481
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
- Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
- Digitally subtracted angiography (DSA) of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.","1. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
2. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
3. Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
4. Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow)
5. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.",0.1385,0.0733,0.0161,0.0076,0.2480,0.4074
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Abdomen ultrasonography of Patient 2 revealing diffusely increased parenchymal echogenicity of the pancreas without focal lesion, suggesting fatty infiltration of the pancreas.
- Right upper lobe (red arrow) and perihilar consolidations.
- Pancreas visualized in mediastinum inferior to gastric pull-through.
- The anterior, central, and posterior pelvic compartments.
- Brightness amplitude scan of right eye showing dome shaped elevation with a high reflective elevation at Inferotemporal quadrant suggestive of scolex.
Describe the current image in clinical terms:","1. Abdomen ultrasonography of Patient 2 revealing diffusely increased parenchymal echogenicity of the pancreas without focal lesion, suggesting fatty infiltration of the pancreas.
2. Right upper lobe (red arrow) and perihilar consolidations.
3. Pancreas visualized in mediastinum inferior to gastric pull-through.
4. The anterior, central, and posterior pelvic compartments.
5. Brightness amplitude scan of right eye showing dome shaped elevation with a high reflective elevation at Inferotemporal quadrant suggestive of scolex.",0.0306,0.0056,0.0032,0.0024,0.0882,0.1651
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
- Chest computed tomography scan showing multiple bilateral bronchopulmonary infiltrates
- Coronal CT scan of intussusception.
- The PET-CT examination shows accumulation of the metabolic tracer of a diffuse character due to pulmonary thickening, with ground glass. Concomitant further accumulation of the tracer is found in some lymph nodes in the intercavo-aortic area, inter-portocaval and hepatic hilum. Limited to the resolution capacity of the method (4 mm) no further pathological areas are highlighted accumulation of the metabolic tracer of a diffuse character due to pulmonary thickening.","1. Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
2. Chest computed tomography scan showing multiple bilateral bronchopulmonary infiltrates
3. Coronal CT scan of intussusception.
4. The PET-CT examination shows accumulation of the metabolic tracer of a diffuse character due to pulmonary thickening, with ground glass. Concomitant further accumulation of the tracer is found in some lymph nodes in the intercavo-aortic area, inter-portocaval and hepatic hilum. Limited to the resolution capacity of the method (4 mm) no further pathological areas are highlighted accumulation of the radiopharmaceutical in the remaining areas of the body examined.
5. Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",0.1066,0.0420,0.0114,0.0059,0.2366,0.3239
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
- Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
- A 46-year-old man with high-grade fever and chills. The axial contrast-enhanced CT scan showed a bilateral pulmonary embolism in the left lung.","1. Chest CT showing penetration of the lower left lobe that reached the left dorsal chest wall. The yellow arrows show the knife secured with a towel or tape. The black arrows show the knife penetrating to the dorsal muscle layer of the 9th intercostal space. The red arrows show that there is no massive pleural effusion. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
2. Thoracic computed tomography (CT) at day 9 after admission revealed a bilateral central pulmonary embolism.
3. A 46-year-old man with high-grade fever and chills. The axial contrast-enhanced CT shows significant right-sided pleural effusion with the near complete collapse of the right lung resulting in a shift of the heart and mediastinum to the left side. There is pleural thickening and enhancement. There is an extrapleural component within the adjacent chest wall with rim enhancement (arrow). Aspiration was performed under the guidance of ultrasonography, and diagnosis of empyema necessitans was made as a complication of Actinomyces Israelii.
4. Coronal CT scan of intussusception.
5. Sagittal CT reconstruction; 28 y/o female; congenital block vertebra C3/4 with degenerative changes in segments C4/5 and C5/6 representing a combination of ASDI and natural degenerative changes.",0.0714,0.0321,0.0091,0.0048,0.2418,0.3813
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- The good position (A) is the case that the tube is 1cm deeper from the margin of the hematoma, and the case where the tube is located outside is called the poor position (B).
- Diffuse pattern consistent with interstitial pulmonary disease.
- Intraoperative fluoroscopy demonstrating right lower quadrant radiopaque foreign body
- Fluoroscopic image obtained intraoperatively demonstrating removal of the metallic foreign body
- Heart ultrasounography. Apical four chamber view. RA right atrium, RV right ventricle, LA left atrium, LV left ventricle
Describe the current image in clinical terms:","1. The good position (A) is the case that the tube is 1cm deeper from the margin of the hematoma, and the case where the tube is located outside is called the poor position (B).
2. Diffuse pattern consistent with interstitial pulmonary disease.
3. Intraoperative fluoroscopy demonstrating right lower quadrant radiopaque foreign body
4. Fluoroscopic image obtained intraoperatively demonstrating removal of the metallic foreign body
5. Heart ultrasounography. Apical four chamber view. RA right atrium, RV right ventricle, LA left atrium, LV left ventricle",0.0177,0.0040,0.0024,0.0019,0.0541,0.1367
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RAN gene mutation. - Acute Necrotizing Encephalopathy (Local case).","1. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
2. Abdominal wall endometriosis MRI signs: a hyperintense heterogeneous mass on both T1 and T2-weighted sequencies (red arrow). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
3. MRI of a typical residual mass resulting from chemotherapy of left-sided metastatic seminoma: 5 cm para-aortic mass (patient R8 in  Table 1 ). T1-weighted imaging, fat-suppressed mode, coronal section. AA, abdominal aorta; IVC, inferior vena cava; LRV, left renal vein. Arrows denote the residual mass. This patient had an M371 level of relative quantity (RQ) = 1 and is continuously disease-free for 24 months. This figure illustrates that neither the imaging technique (i.e., MRI) nor the size of the residual mass (5 cm in this case) can safely predict the histology of the residual mass.
4. A 40-year-old male presented with a diagnosis of ACP of the left shoulder based on the findings of an MRI for ultrasound-guided corticosteroid injection. A longitudinally orientated image using color Doppler was obtained prior to the injection which demonstrates a focus of capsular calcification adjacent to the anterosuperior glenoid rim and associated capsular/pericapsular hyperemia
5. Coronal T2 weighted MRI image showing myositis of right iliopsoas muscles (rightward orange arrow) with diffuse marrow hypointensity (downward orange arrow) secondary to lymphomatous infiltration.MRI - Magnetic Resonance Imaging",0.0227,0.0042,0.0024,0.0018,0.0847,0.2055
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- Axial T2-weighted postmortem MRI of brain in a 23-week fetus demonstrates bilateral intraventricular and periventricular hemorrhage.
- Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone.","1. Axial T2-weighted postmortem MRI of brain in a 23-week fetus demonstrates bilateral intraventricular and periventricular hemorrhage.
2. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
3. Abdominal wall endometriosis MRI signs: a hyperintense heterogeneous mass on both T1 and T2-weighted sequencies (red arrow). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)
4. Sagittal MRI view of the spine (T2-weighted) with a hypersignal in the L2L3 and L5S1 disc spaces
5. A 40-year-old male presented with a diagnosis of ACP of the left shoulder based on the findings of an MRI for ultrasound-guided corticosteroid injection. A longitudinally orientated image using color Doppler was obtained prior to the injection which demonstrates a focus of capsular calcification adjacent to the anterosuperior glenoid rim and associated capsular/pericapsular hyperemia",0.0357,0.0179,0.0066,0.0040,0.1274,0.4438
