image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- Abdominal contrast-enhanced CT scan, showing high-density shadow in the initially placed biliary metal stent and lumen obstruction.
- CT scan of the chest: axial view showing right pleural effusion greater (white arrow) than left.
- Axial chest CT scan showing bilateral hilar adenopathy (asterisks).
- Axial CT image showing a small self-resolving haematoma (arrow) over the bladder dome as a complication of CT-guided drainage.
- CT angiogram was negative for pulmonary embolism, however, did show multifocal airspace opacities consistent with COVID-19, small to moderate haemorrhage consistent with COVID-19, and haematoma consistent with COVID-19","1. Abdominal contrast-enhanced CT scan, showing high-density shadow in the initially placed biliary metal stent and lumen obstruction.
2. CT scan of the chest: axial view showing right pleural effusion greater (white arrow) than left.
3. Axial chest CT scan showing bilateral hilar adenopathy (asterisks).
4. Axial CT image showing a small self-resolving haematoma (arrow) over the bladder dome as a complication of CT-guided drainage.
5. CT angiogram was negative for pulmonary embolism, however, did show multifocal airspace opacities consistent with COVID-19, small to moderate sized pericardial effusion. ",0.0756,0.0506,0.0280,0.0117,0.1837,0.4764
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Axial chest CT scan showing bilateral hilar adenopathy (asterisks).
- Computed tomography scan showed neoplastic invasion of the entire thoracic aorta.
- CT angiogram was negative for pulmonary embolism, however, did show multifocal airspace opacities consistent with COVID-19, small to moderate sized pericardial effusion. 
- CT scan axial cut bone window showing the nasal tooth.
- Axial view of the maximum thickness of the left gluteus minimus and medius muscles on CT. The right side is about three times thicker than the left side with respect to the gluteus minimus.","1. Axial chest CT scan showing bilateral hilar adenopathy (asterisks).
2. Computed tomography scan showed neoplastic invasion of the entire thoracic aorta.
3. CT angiogram was negative for pulmonary embolism, however, did show multifocal airspace opacities consistent with COVID-19, small to moderate sized pericardial effusion. 
4. CT scan axial cut bone window showing the nasal tooth.
5. Axial view of the maximum thickness of the left gluteus minimus and medius muscles on CT. The right side is about three times thicker than the left side with respect to the gluteus minimus (*) and the gluteus medius (#).",0.0455,0.0204,0.0073,0.0044,0.1956,0.3572
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were made on the left ICA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow)","1. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
2. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
3. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
4. Preoperative angiography showing the pseudo-aneurysm of the right SFA, originating from a small collateral branch of SFA at the distal third of the thigh.
5. Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation",0.0714,0.0414,0.0111,0.0058,0.2773,0.4912
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Blush from short gastric arteries on angiography.
- Left Coronary Artery Angiogram
- Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
- Coronary angiography of the right coronary artery shows the typical location of a branch to the atrioventricular node taking off from the right posterolateral (RPL) branch in the right-dominant coronary circulation. There is some atherosclerotic narrowing of the RPL branch.","1. Blush from short gastric arteries on angiography.
2. Left Coronary Artery Angiogram
3. Computed tomographic angiography of the brain shows small well defined hypodensities at the body of right caudate nucleus. The major intracranial arteries have normal calibre and there is no filling defect to suggest thrombosis over the vertebrobasilar arteries.
4. Coronary angiography of the right coronary artery shows the typical location of a branch to the atrioventricular node taking off from the right posterolateral (RPL) branch in the right-dominant coronary circulation. There is some atherosclerotic narrowing in the proximal part of the artery before the take-off of a large acute marginal branch and the right posterior descending branch (RPD). (A higher resolution / colour version of this figure is available in the electronic copy of the article).
5. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery",0.1468,0.0737,0.0172,0.0083,0.1739,0.3775
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Axial T2-weighted image of the pelvis at 1 month after radiotherapy. Temporary tumor progression is seen (yellow arrow).
- Visualisation of the intimal flap at the aortic root in TTE.
- Abdomen ultrasonography of Patient 2 revealing diffusely increased parenchymal echogenicity of the pancreas without focal lesion, suggesting fatty infiltration of the pancreas.
- Contrast tubogram showing the tip of the jejunal extension has curled on itself at the duodeno-jejunal (DJ) flexure (yellow arrow). The inner (jejunal) tubing is not present.","1. Axial T2-weighted image of the pelvis at 1 month after radiotherapy. Temporary tumor progression is seen (yellow arrow).
2. Visualisation of the intimal flap at the aortic root in TTE.
3. Abdomen ultrasonography of Patient 2 revealing diffusely increased parenchymal echogenicity of the pancreas without focal lesion, suggesting fatty infiltration of the pancreas.
4. Contrast tubogram showing the tip of the jejunal extension has curled on itself at the duodeno-jejunal (DJ) flexure (yellow arrow). The inner (jejunal) tubing is not present within the external PEG tubing (external to the patient). Impression likely disconnected with contrast seen in both the stomach and the jejunum.
5. Retrograde urethrogram shows proximal short and narrow bulbar urethral stricture (arrowhead).",0.0283,0.0052,0.0030,0.0022,0.0843,0.1716
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- Coronal View of CT abdomen/pelvis with IV contrast. CT: Computed tomography; IV: IntravenousThe image depicts an abscess (50.8 x 60.0 x 60.0 mm, red arrow) with surrounding inflammation of the small bowel and sigmoid colon
- CT scan of the chest.CT scan of the chest showing scattered reticular, ground-glass, atelectatic and fibrotic changes again seen in both lungs. These are slightly worsened compared to Figure 1 especially in the right upper lobe where there is a groundglass patchy infiltrate of 5 cm in size with associated new cavity of 2 cm in the right middle lobe and a new cavity of 2 cm in the left middle lobe","1. Coronal View of CT abdomen/pelvis with IV contrast. CT: Computed tomography; IV: IntravenousThe image depicts an abscess (50.8 x 60.0 x 60.0 mm, red arrow) with surrounding inflammation of the small bowel and sigmoid colon
2. CT scan of the chest.CT scan of the chest showing scattered reticular, ground-glass, atelectatic and fibrotic changes again seen in both lungs. These are slightly worsened compared to Figure 1 especially in the right upper lobe where there is a groundglass patchy infiltrate of 5 cm in size with associated new cavity of 2 cm in the right middle lobe (blue arrow). 
3. CT scan of chest 7 days post-admission. A 73×69 mm thick walled abscess cavity with a fluid level is seen in the right lung.
4. Computed tomography image from Case 2 depicting free intraperitoneal air (arrow).
5. CT Abdomen showing venous thrombus and ischaemic bowels.",0.0859,0.0260,0.0081,0.0046,0.1765,0.3531
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- CT Chest before starting chemotherapy showed bilateral parenchymal metastatic nodules(red arrow)
- Subsequent computed tomography of the abdomen and pelvis showing left pleural effusion and compressive atelectasis on day nine.
- Two-mm axial section from a CT scan showing the perisplenic haematoma (*) and hypodensity (arrow) separating the upper anterior pole of the spleen (p) from the body (b). CT section number 54.
- A 71‐year‐old woman with esophageal carcinoma. Axial multiple detector spiral computed tomography (MDCT) arterial phase shows pancreaticoduodenal metastatic nodules (red arrow) and hypodensity (arrow) separating the upper anterior pole of the spleen from the body (b).","1. CT Chest before starting chemotherapy showed bilateral parenchymal metastatic nodules(red arrow)
2. Subsequent computed tomography of the abdomen and pelvis showing left pleural effusion and compressive atelectasis on day nine.
3. Two-mm axial section from a CT scan showing the perisplenic haematoma (*) and hypodensity (arrow) separating the upper anterior pole of the spleen (p) from the body (b). CT section number 54.
4. A 71‐year‐old woman with esophageal carcinoma. Axial multiple detector spiral computed tomography (MDCT) arterial phase shows pancreatic tissue (arrow) extending in a posterolateral direction towards the duodenum (curved arrow)
5. Defect of alveolus and nose at the age of 40 (CT scan).",0.0746,0.0474,0.0119,0.0060,0.2286,0.3404
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- ERCP cholangiogram showing surgical clips, several filling defects (bile duct stone indicated by arrows), and one with the surgical clip at the center (arrowhead).ERCP: endoscopic retrograde cholangiopancreatography
- Measurements on the proximal trochlear. AEA, Anatomical epicondylar axis; wMT, Width of medial trochlear facet; wLT, Width of lateral trochlear facet; the dMTE, Linear distance of the medial trochlear edge; the dLTE, Linear distance of the lateral trochlear edge; and dTG, Linear distance of the trochlear edge.","1. ERCP cholangiogram showing surgical clips, several filling defects (bile duct stone indicated by arrows), and one with the surgical clip at the center (arrowhead).ERCP: endoscopic retrograde cholangiopancreatography
2. Measurements on the proximal trochlear. AEA, Anatomical epicondylar axis; wMT, Width of medial trochlear facet; wLT, Width of lateral trochlear facet; the dMTE, Linear distance of the medial trochlear edge; the dLTE, Linear distance of the lateral trochlear edge; and dTG, Linear distance of the trochlear groove
3. A 58-year-old man with left internal carotid artery occlusions, the compensation of collaterals from the right internal carotid artery, external carotid artery and the left vertebral artery to the left hemisphere is insufficient and slow. ASITN/SIR collateral flow grading system: 1.
4. Three-month post-operative anterior-posterior tibia-fibula radiographs of flexible nailing of tibial shaft.
5. Large left-side cavity with a thick wall filled with thick fluid, with a clear fluid, with a clear fluid level occupying more than 80% of the left-sided lung. The arrows are pointing to the boundaries of the fluid level with mild compression of the mediastinum to the other side and secondary hyperinflation of the right lung.",0.0283,0.0164,0.0064,0.0040,0.1404,0.2275
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted axial images. a)Multifidus, b)semispinalis cervicis, c)semispinalis capitis, d)splenius capitis, and e)trapezius.
- Frontal view of MRI T2-scan showing a medial meniscus transplant with the posterior root attachment (arrow)
- T2 weighted image showing a persistent spinoglenoid cyst (arrow)","1. Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted axial images. a)Multifidus, b)semispinalis cervicis, c)semispinalis capitis, d)splenius capitis, and e)trapezius.
2. Frontal view of MRI T2-scan showing a medial meniscus transplant with the posterior root attachment (arrow)
3. T2 weighted image showing a persistent spinoglenoid cyst of the shoulder following initial surgery. There is further atrophy of the infraspinatus muscle compared to the earlier MRI pre-operatively.
4. Magnetic resonance imaging of the right scapular mass
5. MRCP showed bicanalar dilation with abrupt stenosis. MRCP - magnetic resonance cholangiopancreatography",0.0309,0.0057,0.0032,0.0025,0.1056,0.2069
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- T2 head and neck MRI in sagittal view showing isointense mass in the submandibular region suggesting ectopic thymus (red arrow).
- Axial T2-weighted postmortem MRI of brain in a 23-week fetus demonstrates bilateral intraventricular and periventricular hemorrhage.
- Cranial magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the parietal branches (arrowheads) of the superficial temporal arteries as a sign of active giant cell arteritis.
- Cranial magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the par","1. T2 head and neck MRI in sagittal view showing isointense mass in the submandibular region suggesting ectopic thymus (red arrow).
2. Axial T2-weighted postmortem MRI of brain in a 23-week fetus demonstrates bilateral intraventricular and periventricular hemorrhage.
3. Cranial magnetic resonance imaging (high-resolution black-blood T1-weighted spin-echo sequence, fat-suppressed, contrast-enhanced) in 2017: increased signal at the frontal branches (arrows) and at the parietal branches (arrowheads) of the superficial temporal arteries as a sign of active giant cell arteritis.
4. MRI shows in the cranial planes the lesion abuts the left suprahepatic vein (axial T1w post-Gd delayed phase).T1w post-Gd: T1-weighted post-gadolinium
5. Postoperative brain magnetic resonance imaging showing intracranial metastasis 2 months after surgery.",0.0301,0.0151,0.0056,0.0034,0.1773,0.3622
