image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,a ct scan shows an image of a patient's head,,0.1384,0.0325,0.0207,0.0171,0.1095,0.3512
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),an mri image of a heart with an arrow pointing to it,,0.0833,0.0275,0.0196,0.0170,0.0833,0.3354
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),a black and white image of an eye with a blue arrow,,0.1516,0.0914,0.0370,0.0242,0.1469,0.4721
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,a black and white image of a heart,,0.0052,0.0012,0.0008,0.0007,0.0279,0.3518
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,an x - ray shows the location of a bone in the head,,0.1538,0.1132,0.0488,0.0329,0.2206,0.2370
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.",a ct scan of a patient's abdomen,,0.0091,0.0031,0.0022,0.0020,0.0186,0.2855
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,an mri image of a patient's chest,,0.1380,0.0269,0.0164,0.0134,0.0987,0.4633
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,an x - ray image of a patient's chest,,0.0000,0.0000,0.0000,0.0000,0.0000,0.2245
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,an x - ray image of a woman's neck,,0.0000,0.0000,0.0000,0.0000,0.0000,0.4713
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,a black and white image of an mri scan of the head,,0.0833,0.0275,0.0196,0.0170,0.0877,0.4795
ROCOv2_2023_test_000011,US,Transverse US image of the left ovary demonstrates the “string of pearls” sign.,a black and white image of an ultrasound image,,0.1021,0.0766,0.0338,0.0233,0.0654,0.3389
ROCOv2_2023_test_000012,CT,"Neck CT showing a left lymph node conglomerate with hypodense images due to necrotic changes, loss of cleavage plane with muscle structures, and mass effect on the ipsilateral jugular vein.CT: computed tomography",a ct scan of a patient's mouth,,0.0128,0.0025,0.0015,0.0013,0.0464,0.3471
ROCOv2_2023_test_000013,CT,"Postoperative computed tomography angiography showing that the left internal mammary artery graft was patent, with good distal run-off in the left anterior descending artery.",a ct scan shows an image of a heart with an arrow pointing to it,,0.0320,0.0105,0.0074,0.0063,0.0402,0.4517
ROCOv2_2023_test_000014,ANGIO,"DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.",a black and white image of a person with a long nose,,0.0362,0.0120,0.0085,0.0074,0.0238,0.4028
