image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- CT angiography of abdomen with i.v. and p.o. contrast − area of distended caecum up to 80 mm, without wall thickening, with dense liquid intestinal content (photo: author's archive).
- Post-operative paranasal coronal CT scan.
- In the lower lobe of the right lung, scattered patchy and cordlike shadows with increased density were observed, and some edges were blurred in CT. The interlobular septum of the lung was thickened in a grid shape, which was consistent with interstitial manifestations
- Computed tomography (CT) shows floating thrombosis (white arrow)
- In the lower lobe of the right lung, scattered patchy and cordlike shadows with increased density were observed, and some edges were blurred in CT","1. CT angiography of abdomen with i.v. and p.o. contrast − area of distended caecum up to 80 mm, without wall thickening, with dense liquid intestinal content (photo: author's archive).
2. Post-operative paranasal coronal CT scan.
3. In the lower lobe of the right lung, scattered patchy and cordlike shadows with increased density were observed, and some edges were blurred in CT. The interlobular septum of the lung was thickened in a grid shape, which was consistent with interstitial manifestations
4. Computed tomography (CT) shows floating thrombosis (white arrow)
5. Sagittal CT scan of the left femoral acetabular joint.",0.0350,0.0157,0.0056,0.0033,0.1115,0.2724
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
- Sagittal CT scan of the left femoral acetabular joint.
- Axial CT at the skull base reveals erosion of basisphenoid bone.
- CT scan showing T6 osteolytic lesion (red arrow), calcified fibroid on the uterus (yellow arrow), and intrauterine device in place (blue arrow).
- Chest CT showing right upper lobe cavitation along with bilateral lung nodules. Right moderate and left mild pleural effusion is also seen.
Describe the current image in clinical terms:","1. Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
2. Sagittal CT scan of the left femoral acetabular joint.
3. Axial CT at the skull base reveals erosion of basisphenoid bone.
4. CT scan showing T6 osteolytic lesion (red arrow), calcified fibroid on the uterus (yellow arrow), and intrauterine device in place (blue arrow).
5. Chest CT showing right upper lobe cavitation along with bilateral lung nodules. Right moderate and left mild pleural effusion is also seen.",0.0536,0.0220,0.0076,0.0045,0.2180,0.2884
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
- Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
- Right coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery.
- Coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery","1. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
2. Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
3. Right coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery.
4. Coronary angiography in the Left anterior oblique (LAO) caudal view demonstrated double right coronary artery: main RCA (M.RCA), double RCA (D.RCA) and the dissection in the proximal portion of the main RCA.",0.0448,0.0183,0.0063,0.0037,0.1797,0.3246
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
- Right coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery.
- Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
- Coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery","1. Quantitative measurements on follow-up digital subtraction angiography (DSA). Measurements were taken on the lateral view. Width (line a) was measured as the longest horizontal distance of the area covered by neoangiogenesis. Height (line b) was measured as the longest vertical distance of the area covered by neoangiogenesis.
2. Right coronary angiography shows an aberrant vessel, which terminates in the smaller aneurysm, and this is connected to the pulmonary artery.
3. Postprocedural angiography of the SMA after stent placement stabilizes the dissection fold and improved peripheral blood flow.
4. Coronary angiography in the Left anterior oblique (LAO) caudal view demonstrated double right coronary artery: main RCA (M.RCA), double RCA (D.RCA) and the dissection in the proximal portion of the main RCA.",0.1194,0.0599,0.0140,0.0068,0.2356,0.3873
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Intraoperative fluoroscopy demonstrating right lower quadrant radiopaque foreign body
- This implant was designed as an inlay, but its large size resulted in an onlay application most of the time.
- A pulmonary artery catheter was placed to guide management
- Acute viral right parotitis. Enlarged, hypervascularized parotid on ultrasonography
- CECT scan in the coronal view showing diffusely enlarged lacrimal glands with homogenous enhancement
Describe the current image in clinical terms:","1. Intraoperative fluoroscopy demonstrating right lower quadrant radiopaque foreign body
2. This implant was designed as an inlay, but its large size resulted in an onlay application most of the time.
3. A pulmonary artery catheter was placed to guide management
4. Acute viral right parotitis. Enlarged, hypervascularized parotid on ultrasonography
5. CECT scan in the coronal view showing diffusely enlarged lacrimal glands with homogenous enhancement",0.0345,0.0063,0.0036,0.0027,0.0943,0.1289
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
- Chest CT showing right upper lobe cavitation along with bilateral lung nodules. Right moderate and left mild pleural effusion is also seen.
- CT Abdomen showing venous thrombus and ischaemic bowels.
- CT scan of the chest: axial view showing right pleural effusion greater (white arrow) than left.
- CT scan showing T6 osteolytic lesion (red arrow), calcified fibroid on the uterus (yellow arrow), and intrauterine device in place (blue arrow).
Describe the current diagnosis and treatment of the patient","1. Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
2. Chest CT showing right upper lobe cavitation along with bilateral lung nodules. Right moderate and left mild pleural effusion is also seen.
3. CT Abdomen showing venous thrombus and ischaemic bowels.
4. CT scan of the chest: axial view showing right pleural effusion greater (white arrow) than left.
5. CT scan showing T6 osteolytic lesion (red arrow), calcified fibroid on the uterus (yellow arrow), and intrauterine device in place (blue arrow).",0.0750,0.0355,0.0102,0.0055,0.1312,0.3301
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- CT showing extraluminal gas around lesser curvature of stomach suspicious for perforated stomach.
- Chest CT at relapse showed pericardial effusion and ground glass bilateral opacities.
- Computed tomography angiographic image showing type A intramural hematoma.
- Second clinical case: CT image in coronal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
- Sagittal CT scan of the left femoral acetabular joint.
Describe the current image in clinical terms:","1. CT showing extraluminal gas around lesser curvature of stomach suspicious for perforated stomach.
2. Chest CT at relapse showed pericardial effusion and ground glass bilateral opacities.
3. Computed tomography angiographic image showing type A intramural hematoma.
4. Second clinical case: CT image in coronal plane of pseudoarthrosis occurred after a middle-proximal third humeral shaft fracture in a 64-year-old male patient conservatively treated.
5. Sagittal CT scan of the left femoral acetabular joint.",0.0625,0.0444,0.0348,0.0259,0.2130,0.3289
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- Transesophageal echocardiogram image demonstrates interventricular septal aneurysm
- Sub-segmental PE (indicated by green arrow)PE: pulmonary embolism
- High Resolution Chest Computer TomographyBasal ground-glass opacities
- Case 1: axial T2/FLAIR sequence with foci of white matter hyperintensity suggestive of demyelination. FLAIR: fluid-attenuated inversion recovery
- Diagnostic/investigations
Describe the current image in clinical terms:","1. Transesophageal echocardiogram image demonstrates interventricular septal aneurysm
2. Sub-segmental PE (indicated by green arrow)PE: pulmonary embolism
3. High Resolution Chest Computer TomographyBasal ground-glass opacities
4. Case 1: axial T2/FLAIR sequence with foci of white matter hyperintensity suggestive of demyelination. FLAIR: fluid-attenuated inversion recovery
5. Diagnostic/investigations",0.0429,0.0079,0.0045,0.0034,0.1056,0.2435
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- Contrast-enhanced MRI after completion of proton-beam radiotherapy shows complete resolution of the tumor.
- MRCP: disruption of the pancreatic duct in the tail of the pancreas with 3 × 2cm necrotic collection, which, in turn, was communicating with the right pleural cavity.MRCP: magnetic resonance cholangiopancreatography
- MRI shows in the cranial planes the lesion abuts the left suprahepatic vein (axial T1w post-Gd delayed phase).T1w post-Gd: T1-weighted post-gadolinium
- Coronal magnetic resonance imaging shows the lesion abuts the left suprahepatic vein (axial T1w post-Gd delayed phase).T1w post-Gd: T1-weighted post-gadolinium","1. Contrast-enhanced MRI after completion of proton-beam radiotherapy shows complete resolution of the tumor.
2. MRCP: disruption of the pancreatic duct in the tail of the pancreas with 3 × 2cm necrotic collection, which, in turn, was communicating with the right pleural cavity.MRCP: magnetic resonance cholangiopancreatography
3. MRI shows in the cranial planes the lesion abuts the left suprahepatic vein (axial T1w post-Gd delayed phase).T1w post-Gd: T1-weighted post-gadolinium
4. Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.
5. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.",0.0179,0.0040,0.0024,0.0019,0.0637,0.3363
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- Contrast-enhanced MRI after completion of proton-beam radiotherapy shows complete resolution of the tumor.
- MRCP: disruption of the pancreatic duct in the tail of the pancreas with 3 × 2cm necrotic collection, which, in turn, was communicating with the right pleural cavity.MRCP: magnetic resonance cholangiopancreatography
- Magnetic resonance imaging with contrast revealed filling defect of the superior sagittal sinus (white arrow) that confirm the diagnosis of cerebral venous sinus thrombosis. A, anterior; P, posterior; H, head; F, foot.
- Acute Necrotizing Encephalomyelitis","1. Contrast-enhanced MRI after completion of proton-beam radiotherapy shows complete resolution of the tumor.
2. MRCP: disruption of the pancreatic duct in the tail of the pancreas with 3 × 2cm necrotic collection, which, in turn, was communicating with the right pleural cavity.MRCP: magnetic resonance cholangiopancreatography
3. Magnetic resonance imaging with contrast revealed filling defect of the superior sagittal sinus (white arrow) that confirm the diagnosis of cerebral venous sinus thrombosis. A, anterior; P, posterior; H, head; F, foot.
4. Acute Necrotizing Encephalopathy (Local case). (Personal case of APN and JMW): Axial T-2 weighted MRI of a 9-year-old girl with who presented with classical clinical features of ANE and was admitted to the local paediatric intensive care unit. The MRI shows the classical symmetrical involvement of both thalami (with a target appearance) and symmetrical external capsular white matter affected. She had brainstem involvement (not shown) and was treated with intravenous methylprednisolone early. She survived with mild to moderate neurological sequelae. She was the first in her family to be genetically confirmed as positive for a RANBP2 mutation, with two of her cousins having been previously affected. The genetic result assisted with identification of at-risk family members, counseling and subsequent preventative measures including vaccination and early ANE ‘crisis’ management.
5. Coronal magnetic resonance imaging with gadolinium contrast of the skull base. The arrow points to right skull base with enhancing lesion.",0.0183,0.0041,0.0025,0.0020,0.0649,0.3698
