image_id,modality,ground_truth,generated_caption,retrieved_context,bleu_1,bleu_2,bleu_3,bleu_4,meteor,semantic_similarity
ROCOv2_2023_test_000001,CT,CT chest axial view showing a huge ascending aortic aneurysm (*).,"Based on the context of similar medical images:
- CT angiography of abdomen with i.v. and p.o. contrast − area of distended caecum up to 80 mm, without wall thickening, with dense liquid intestinal content (photo: author's archive).
- CT angiogram of the chest. The red arrow indicates an area of airspace consolidation on the lower lobe of the left lung
- Axial CT image of the posterior fossa in bone window setting displays a sprinkled, sand-like calcification within the lesion (arrowhead)
- An abdominal CT scan revealed a 2 cm mass with mild contrast effect in the pancreatic body. There was a little tendency to invade the pancreas (arrow)","1. CT angiography of abdomen with i.v. and p.o. contrast − area of distended caecum up to 80 mm, without wall thickening, with dense liquid intestinal content (photo: author's archive).
2. CT angiogram of the chest. The red arrow indicates an area of airspace consolidation on the lower lobe of the left lung
3. Axial CT image of the posterior fossa in bone window setting displays a sprinkled, sand-like calcification within the lesion (arrowhead)
4. An abdominal CT scan revealed a 2 cm mass with mild contrast effect in the pancreatic body. There was a little tendency to invade the surrounding area, which was different from typical pancreatic ductal carcinoma.
5. Post-operative paranasal coronal CT scan.",0.0551,0.0209,0.0070,0.0041,0.1581,0.3301
ROCOv2_2023_test_000002,CT,Computed tomography (CT) shows floating thrombosis (white arrow),"Based on the context of similar medical images:
- Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
- CT head axial non-contrast demonstrates right microphthalmia with a soft tissue mass associated with the lens, with a focus of calcification
- CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
- CT of the abdomen and pelvis with the portal venous phase of contrast enhancement showing metastatic adenocarcinoma in liver segment VII (axial view). The study was performed one week before the second RFA.CT: computed tomography; RFA: radiofrequency ablation
- CT showing pneumothorax (red arrow). The study was performed one week before the second RFA.CT: computed tomography; RFA: radiofrequency ablation","1. Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
2. CT head axial non-contrast demonstrates right microphthalmia with a soft tissue mass associated with the lens, with a focus of calcification
3. CT chest without contrast axial view showing moderate right pleural effusion (red arrow).
4. CT of the abdomen and pelvis with the portal venous phase of contrast enhancement showing metastatic adenocarcinoma in liver segment VII (axial view). The study was performed one week before the second RFA.CT: computed tomography; RFA: radiofrequency ablation
5. CT showing pneumobillia.",0.0593,0.0297,0.0087,0.0047,0.2832,0.3630
ROCOv2_2023_test_000003,ANGIO,Digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),"Based on the context of similar medical images:
- Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow, LCX: blue arrow, and LCX: red arrow)","1. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
2. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
3. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
4. The guidewire (arrow) could not be guided into the right ventricle although it seemed to take the brachiocephalic superior vena cava route. Selective persistent left superior vena cava vein angiography revealed a tortuous route, and persistent left superior vena cava (arrowhead with dotted line) drained into both the right and left atria.
5. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.",0.0750,0.0435,0.0117,0.0061,0.2254,0.4192
ROCOv2_2023_test_000004,ANGIO,Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,"Based on the context of similar medical images:
- Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- DSA showing self-expandable aneurysm (yellow arrow) draining into the CS (white arrow)","1. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
2. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
3. DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.
4. Left Coronary Artery Angiogram
5. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.",0.1463,0.0600,0.0144,0.0071,0.1899,0.4010
ROCOv2_2023_test_000005,UNKNOWN,Angle measurement of a Type 1 canal.,"Based on the context of similar medical images:
- Right ventricular inflow imaging of the tricuspid valve with evidence of an independently mobile mass/vegetation (red arrowhead) on the atrial aspect of the tricuspid valve, which appears smaller in size compared to the previous echocardiogram, now measuring 7 × 6 mm.
- Case 2: Parastomal varix in 61-year-old male. Post embolization venogram via the SMV demonstrating interval resolution of parastomal varices. Embolization agents used: coils (red arrow), embozene particles (700 μm), and 1000 units of thrombin.
- Contrast remained at the level of the tricuspid valve (red arrowhead).","1. Right ventricular inflow imaging of the tricuspid valve with evidence of an independently mobile mass/vegetation (red arrowhead) on the atrial aspect of the tricuspid valve, which appears smaller in size compared to the previous echocardiogram, now measuring 7 × 6 mm.
2. Case 2: Parastomal varix in 61-year-old male. Post embolization venogram via the SMV demonstrating interval resolution of parastomal varices. Embolization agents used: coils (red arrow), embozene particles (700 μm), and 1000 units of thrombin.
3. Contrast remained at the positions of dissections (arrows).
4. Measurements of the radiographic image. The upper and lower dashed lines indicate the local lordotic angle (LLA).
5. Fractures of the femurs in an adult patient with infantile HPP.",0.0171,0.0038,0.0023,0.0018,0.1058,0.2139
ROCOv2_2023_test_000006,CT,"Computed tomography on day 26Follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.","Based on the context of similar medical images:
- CT head axial non-contrast demonstrates right microphthalmia with a soft tissue mass associated with the lens, with a focus of calcification
- CT scan - transverse section (image 1)Arrow indicates air-fluid levels suggesting small bowel obstruction. CT: computed tomography
- Preoperative CT scan demonstrated extremely severe hydronephrosis and multiple right renal calculi
- Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
- CT angiogram of the chest. The red arrow indicates an area of airspace consolidation on the lower lobe of the left lung
Describe the current state of the patient","1. CT head axial non-contrast demonstrates right microphthalmia with a soft tissue mass associated with the lens, with a focus of calcification
2. CT scan - transverse section (image 1)Arrow indicates air-fluid levels suggesting small bowel obstruction. CT: computed tomography
3. Preoperative CT scan demonstrated extremely severe hydronephrosis and multiple right renal calculi
4. Abdominopelvic CT scan revealing features of mesenteric adenitis (red arrow).
5. CT angiogram of the chest. The red arrow indicates an area of airspace consolidation on the lower lobe of the left lung",0.0885,0.0281,0.0089,0.0050,0.1836,0.3263
ROCOv2_2023_test_000007,CT,Enhanced CT scan of the chest revealed an anterior mediastinal tumor (black arrow).,"Based on the context of similar medical images:
- A CT scan of the chest. The scan shows a small sub-pleural nodule-like consolidation (white arrow). 
- CT of the thorax showing co-existing emphysematous hyperinflation
- CT head shows a mild left frontal subcutaneous soft tissue swelling suggestive of a contusion or hematoma.
- CT showing extraluminal gas around lesser curvature of stomach suspicious for perforated stomach.
- CT abdomen and pelvis showing irregular exophytic soft tissue mass within the ascending colon, with enlarged retroperitoneal lymph nodes
Describe the current image in clinical terms:","1. A CT scan of the chest. The scan shows a small sub-pleural nodule-like consolidation (white arrow). 
2. CT of the thorax showing co-existing emphysematous hyperinflation
3. CT head shows a mild left frontal subcutaneous soft tissue swelling suggestive of a contusion or hematoma.
4. CT showing extraluminal gas around lesser curvature of stomach suspicious for perforated stomach.
5. CT abdomen and pelvis showing irregular exophytic soft tissue mass within the ascending colon, with enlarged retroperitoneal lymph nodes",0.0882,0.0724,0.0594,0.0454,0.2374,0.4115
ROCOv2_2023_test_000008,UNKNOWN,Arrow shows ULP at the distal arch.,"Based on the context of similar medical images:
- Barium meal. Giant ulcer with a clover-leaf deformity in the median third of the stomach, a pseudoneoplastic benign giant ulcer.
- Right lateral radiographic projection of the right humerus including the radius and ulna at day 35 from the bite injury. Severe periosteal proliferation along the extent of the cortical humeral bone with a minimally displaced, transverse, proximal diaphyseal pathologic fracture of the right humerus, consistent with osteomyelitis, is present. The edges of the fracture site are rounded
-  Right side adrenal abscess with calcification (coronal view).
- Left side adrenal abscess with calcification (lateral view).","1. Barium meal. Giant ulcer with a clover-leaf deformity in the median third of the stomach, a pseudoneoplastic benign giant ulcer.
2. Right lateral radiographic projection of the right humerus including the radius and ulna at day 35 from the bite injury. Severe periosteal proliferation along the extent of the cortical humeral bone with a minimally displaced, transverse, proximal diaphyseal pathologic fracture of the right humerus, consistent with osteomyelitis, is present. The edges of the fracture site are rounded
3.  Right side adrenal abscess with calcification (coronal view).
4. Right ventricle inflow view showing large mobile thrombus crossing the tricuspid valve (arrow)
5. Sagittal view of the retroperitoneal mass",0.0248,0.0045,0.0026,0.0020,0.1036,0.2088
ROCOv2_2023_test_000009,MRI,Early sagittal T2-weighted MRI.,"Based on the context of similar medical images:
- MRI of thoracic spine shows abnormal T2 signaling at the level of T3.
-  Magnetic resonance imaging of the chest showing osteomyelitis in the manubrium with associated phlegmonous change (arrow)
-  Sagittal fat-suppressed proton density-weighted magnetic resonance imaging shows a left transverse patellar fracture (arrow) after the dislocation occurred at physical therapy.
- Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted images.","1. MRI of thoracic spine shows abnormal T2 signaling at the level of T3.
2.  Magnetic resonance imaging of the chest showing osteomyelitis in the manubrium with associated phlegmonous change (arrow)
3.  Sagittal fat-suppressed proton density-weighted magnetic resonance imaging shows a left transverse patellar fracture (arrow) after the dislocation occurred at physical therapy.
4. Using preoperative magnetic resonance imaging, the cross-sectional areas of the trapezius muscles at the C3–4, C4–5, C5–6, and C6–7 intervertebral levels were measured on T2-weighted axial images. a)Multifidus, b)semispinalis cervicis, c)semispinalis capitis, d)splenius capitis, and e)trapezius.
5. Brain MRI axial FLAIR showing hyperintensities in the anterior temporal lobe bilaterally. FLAIR: fluid-attenuated inversion recovery",0.0400,0.0064,0.0035,0.0026,0.1379,0.3878
ROCOv2_2023_test_000010,MRI,Late axial T2-weighted MRI.,"Based on the context of similar medical images:
- Sagittal FLAIR pre-contrast MRI.The image is showing superior beaking of the tentorium (yellow arrow) as it approaches the scalp lesion (blue arrow).FLAIR: fluid-attenuated inversion recovery
-  Magnetic resonance imaging of the chest showing osteomyelitis in the manubrium with associated phlegmonous change (arrow)
- Early sagittal T2-weighted MRI.
- Brain MRI axial FLAIR showing hyperintensities in the anterior temporal lobe bilaterally. FLAIR: fluid-attenuated inversion recovery
-  Sagittal fat-suppressed proton density-weighted MRI showing hyperintensities in the anterior temporal lobe bilaterally","1. Sagittal FLAIR pre-contrast MRI.The image is showing superior beaking of the tentorium (yellow arrow) as it approaches the scalp lesion (blue arrow).FLAIR: fluid-attenuated inversion recovery
2.  Magnetic resonance imaging of the chest showing osteomyelitis in the manubrium with associated phlegmonous change (arrow)
3. Early sagittal T2-weighted MRI.
4. Brain MRI axial FLAIR showing hyperintensities in the anterior temporal lobe bilaterally. FLAIR: fluid-attenuated inversion recovery
5.  Sagittal fat-suppressed proton density-weighted magnetic resonance imaging shows a left transverse patellar fracture (arrow) after the dislocation occurred at physical therapy.",0.0404,0.0287,0.0204,0.0097,0.1389,0.2249
ROCOv2_2023_test_000011,US,Transverse US image of the left ovary demonstrates the “string of pearls” sign.,"Based on the context of similar medical images:
- Transverse view of the ultrasound-guided fine needle aspiration of the left thyroid lobe. The arrows are pointing to the fine needle.
- B-lines on lung ultrasound. Phased array probe (1-5 MHz) with probe marker facing cephalad placed in an intercostal space. B lines (denoted by arrows), are well-defined comet-tail, vertical hyperechoic artifacts arising from the pleural line that obliterate normal A-lines, and descend to the bottom of the screen. Multiple B-lines in an interspace indicates an interstitial syndrome, where there are increased air-fluid interfaces creating this artifact.
- Operative planning image of the left thyroid lobe. The arrows are pointing to the fine needle.","1. Transverse view of the ultrasound-guided fine needle aspiration of the left thyroid lobe. The arrows are pointing to the fine needle.
2. B-lines on lung ultrasound. Phased array probe (1-5 MHz) with probe marker facing cephalad placed in an intercostal space. B lines (denoted by arrows), are well-defined comet-tail, vertical hyperechoic artifacts arising from the pleural line that obliterate normal A-lines, and descend to the bottom of the screen. Multiple B-lines in an interspace indicates an interstitial syndrome, where there are increased air-fluid interfaces creating this artifact.
3. Operative planning ultrasound prior to ultrasound-guided subcutaneous collection drainage and appendicolith retrieval. The red arrow indicates the hypoechoic collection with some internal echoes overlying to the abdominal wall (green arrow), with internal appendicoliths (white arrows). The collection measured 34 mm deep to the skin.
4. US gallbladder left lateral decubitus view with black arrows indicating multiple stones
5. Ultrasound image of placenta—Placentomegaly.",0.0615,0.0378,0.0282,0.0205,0.1460,0.2577
ROCOv2_2023_test_000012,CT,"Neck CT showing a left lymph node conglomerate with hypodense images due to necrotic changes, loss of cleavage plane with muscle structures, and mass effect on the ipsilateral jugular vein.CT: computed tomography","Based on the context of similar medical images:
- CT scan image showing the extension of the dissection to the iliac arteries.
- Chest computed tomography image showing ground-glass opacity, crazy paving, and consolidation
-  Computed tomography of the head showing large intraparenchymal hemorrhage of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.
- CT abdomen and pelvis showing mucosal thickening and hyperenhancement with slight vascular engorgement in the cecum and ascending colon
- Initial computed tomography of the chest shows a bilateral pleural effusion.
Describe the current image in clinical terms:","1. CT scan image showing the extension of the dissection to the iliac arteries.
2. Chest computed tomography image showing ground-glass opacity, crazy paving, and consolidation
3.  Computed tomography of the head showing large intraparenchymal hemorrhage of the left anterior temporal lobe and left inferior frontal lobe (arrows) with surrounding edema and mass effect.
4. CT abdomen and pelvis showing mucosal thickening and hyperenhancement with slight vascular engorgement in the cecum and ascending colon
5. Initial computed tomography of the chest shows a bilateral pleural effusion.",0.1727,0.0890,0.0419,0.0162,0.2869,0.4447
ROCOv2_2023_test_000013,CT,"Postoperative computed tomography angiography showing that the left internal mammary artery graft was patent, with good distal run-off in the left anterior descending artery.","Based on the context of similar medical images:
- Axial CT angiography of the abdomen with contrast showing aortic dissection
- Non-contrasted paranasal sinuses CT scan, coronal view for case 2.There is a complete opacification of sino-nasal cavities on both sides due to nasal polyps with opacified lamellar pneumatization of the inferior turbinate bilaterally. The pneumatization is communicating with the maxillary sinus bilaterally (arrows).
- CT ears without contrast showed gross soft tissue edema about the pinna of the right ear and within subcutaneous fat at the base.
- Coronary computed tomography (curved view) of the abdomen with contrast showing aortic dissection","1. Axial CT angiography of the abdomen with contrast showing aortic dissection
2. Non-contrasted paranasal sinuses CT scan, coronal view for case 2.There is a complete opacification of sino-nasal cavities on both sides due to nasal polyps with opacified lamellar pneumatization of the inferior turbinate bilaterally. The pneumatization is communicating with the maxillary sinus bilaterally (arrows).
3. CT ears without contrast showed gross soft tissue edema about the pinna of the right ear and within subcutaneous fat at the base.
4. Coronary computed tomography (curved MPR). A curved MPR showed a dilated circumflex and calcification at the proximal side of the fistula (arrow).MPR: multiplanar reconstruction, LV: left ventricle.
5. CT scan performed on February of 2021 and showed a questionable circumferential wall thickening (arrow) of a distal small bowel loop in the right side of the abdomen which needs further assessment",0.0811,0.0271,0.0088,0.0050,0.1842,0.3689
ROCOv2_2023_test_000014,ANGIO,"DSA showing self-expandable stent of the left ICA.Foot note: DSA, Digital Subtraction Angiography; ICA, Internal Carotid Artery.","Based on the context of similar medical images:
- Left Coronary Artery Angiogram
- Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
- Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery.","1. Left Coronary Artery Angiogram
2. Selective angiography representing a long-standing obstruction of the SMA with well-developed collaterals through the GDA (CA: yellow arrow, GDA: blue arrow, and SMA: red arrow) (from the Department of Radiology and Nuclear Medicine, University Hospital of Magdeburg [Germany]). SMA, superior mesenteric artery.
3. Preoperative coronary artery angiography showed that the abnormal aneurysm branched from the end of the LCX (white arrow). The aneurysm drained into the CS. CS, coronary sinus; LCX, left circumflex artery
4. Completion angiography demonstrating patency of the popliteal artery, anterior tibial artery, posterior tibial artery and peroneal artery.
5. Digitally subtracted angiogram of the IMA demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation",0.0893,0.0401,0.0114,0.0061,0.2215,0.3964
ROCOv2_2023_test_000015,UNKNOWN,Chest radiography shows aneurysm as protruding mass.,"Based on the context of similar medical images:
- The cross-sectional area of the paravertebral muscles.
- Anteroposterior chest radiography demonstrated diffuse reticulonodular opacities (nodular> reticular) involving the bilateral hemithorax with background ground glass haziness.
-  Echocardiography on admission. Left ventricular enlargement and left ventricular systolic function was significantly reduced. The ejection fraction was 28.48%.
- Subcostal Transversus Abdominis Plane Block.
- Appearance after the application of Biodentine™.
Describe the current image in clinical terms:","1. The cross-sectional area of the paravertebral muscles.
2. Anteroposterior chest radiography demonstrated diffuse reticulonodular opacities (nodular> reticular) involving the bilateral hemithorax with background ground glass haziness.
3.  Echocardiography on admission. Left ventricular enlargement and left ventricular systolic function was significantly reduced. The ejection fraction was 28.48%.
4. Subcostal Transversus Abdominis Plane Block.
5. Appearance after the application of Biodentine™.",0.0341,0.0198,0.0077,0.0048,0.1597,0.2957
ROCOv2_2023_test_000016,XR,Abdominal X-ray. SEMS was placed beyond the stenosis.,"Based on the context of similar medical images:
- Post-operative radiograph post 1st revision showing relocation of glenosphere.
- X-ray findings.
- Subsequent chest radiograph showing nearly complete opacification of the right hemithorax and progressive opacification of the left lung base.
- Preoperative radiograph of a female 35-year-old patient with left hip dislocation and fracture of the femoral head (Pipkin type 1 fracture)
-  The typical chest X-ray finding of a patient with coronavirus disease 2019 infection showing bilateral infiltration.
Describe the current image in clinical terms:","1. Post-operative radiograph post 1st revision showing relocation of glenosphere.
2. X-ray findings.
3. Subsequent chest radiograph showing nearly complete opacification of the right hemithorax and progressive opacification of the left lung base.
4. Preoperative radiograph of a female 35-year-old patient with left hip dislocation and fracture of the femoral head (Pipkin type 1 fracture)
5.  The typical chest X-ray finding of a patient with coronavirus disease 2019 infection showing bilateral infiltration.",0.0421,0.0067,0.0036,0.0027,0.1351,0.2708
ROCOv2_2023_test_000017,UNKNOWN,HRCT done on presentation to the ER that shows B/L ground glass infiltrates with patchy consolidations involving mainly the peripheries,"Based on the context of similar medical images:
- Chest radiography on admission showed bilateral reticular shadows but no finding of cavity lesions.
-  Right coronary artery following thrombectomy
- (a) Pulmonary fibrosis in the course of interstitial lung disease: down arrows—pleural line; left arrows—B line artifact observed at 2 MHz frequency. (b) Pulmonary fibrosis in the course of interstitial lung disease: down arrows—pleural line; left arrows—vertical artifacts observed at 6 MHz frequency. The image was obtained from the same patient and identical assessment site as in Figure 4a. (c) Cardiac edema: down arrows—pleural line; left arrows—B-line artifact observed at 2 MHz frequency. The image was obtained from the same patient and identical assessment site as in Figure 4a. (d) Cardiac edema: down arrows—pleural line; left arrows—B-line artifact observed at","1. Chest radiography on admission showed bilateral reticular shadows but no finding of cavity lesions.
2.  Right coronary artery following thrombectomy
3. (a) Pulmonary fibrosis in the course of interstitial lung disease: down arrows—pleural line; left arrows—B line artifact observed at 2 MHz frequency. (b) Pulmonary fibrosis in the course of interstitial lung disease: down arrows—pleural line; left arrows—vertical artifacts observed at 6 MHz frequency. The image was obtained from the same patient and identical assessment site as in Figure 4a. (c) Cardiac edema: down arrows—pleural line; left arrows—B-line artifacts observed at 2 MHz frequency. (d) Cardiac edema: down arrows—pleural line; left arrows—B-line artifacts observed at 6 MHz frequency. The image was obtained from the same patient and identical assessment site as in Figure 4c.
4. Sagittal view of A1 pulley (white arrows) presenting as a fusiform structure with a hypo-echoic signal contoured by a thin hyperechoic line. The superficial flexor tendon is visible (square parenthesis).
5. Pancreas visualized in mediastinum inferior to gastric pull-through.",0.0196,0.0036,0.0020,0.0015,0.0751,0.2204
